"GEO_ID","NAME","B25104_001E","B25104_001M","B25104_002E","B25104_002M","B25104_003E","B25104_003M","B25104_004E","B25104_004M","B25104_005E","B25104_005M","B25104_006E","B25104_006M","B25104_007E","B25104_007M","B25104_008E","B25104_008M","B25104_009E","B25104_009M","B25104_010E","B25104_010M","B25104_011E","B25104_011M","B25104_012E","B25104_012M","B25104_013E","B25104_013M","B25104_014E","B25104_014M","B25104_015E","B25104_015M","B25104_016E","B25104_016M","B25104_017E","B25104_017M"
"0500000US06033","Lake County, California","25968","1699","155","241","693","421","1397","813","1630","852","1519","707","1119","538","1245","603","1627","780","2645","1027","1441","712","5316","1456","3534","1035","2273","1007","476","346","415","315","483","330"
"0500000US06037","Los Angeles County, California","3328398","9311","8716","1272","16572","1867","64945","4478","74339","4368","74215","4296","77326","4125","77935","3712","77765","4332","92340","4630","105572","4833","689129","11755","661478","11518","448127","10559","300163","8345","513889","10215","45887","4168"
"0500000US06039","Madera County, California","44387","1836","114","150","734","449","1291","699","2374","1126","1555","792","1803","636","2317","763","2019","947","1697","723","2785","976","12384","2167","8016","1548","3371","1157","1473","660","1034","488","1420","677"
"0500000US06041","Marin County, California","105298","1492","181","148","205","263","1274","481","1566","739","1695","801","3343","1117","1419","631","2358","838","1581","579","2162","774","9340","1330","14692","1985","15159","1607","12482","1687","36301","2482","1540","774"
"0500000US06045","Mendocino County, California","34478","1479","403","357","550","363","1350","628","1503","515","2257","942","1656","772","1790","777","2268","872","1463","608","2676","1143","7201","1256","4710","1113","2859","1112","1501","529","886","511","1405","694"
"0500000US06047","Merced County, California","80645","1718","70","119","599","287","2567","904","2809","843","3801","1016","4230","1298","6031","1393","3762","1104","5242","1242","5411","1307","21670","2347","13018","1997","6425","1676","1369","765","1242","611","2399","841"
"0500000US06053","Monterey County, California","128227","2197","105","109","463","325","2745","784","2998","705","3425","782","2870","788","3801","1034","4143","1042","3609","893","3454","783","23639","2185","27927","2741","17806","2268","10624","1684","19546","1976","1072","573"
"0500000US06055","Napa County, California","48107","1441","153","174","362","232","869","475","1491","562","1213","545","1115","453","1165","452","2145","563","1619","588","1417","575","7701","1133","6318","1048","6442","1032","5587","1010","9869","1165","641","413"
"0500000US06057","Nevada County, California","39365","2247","58","92","296","200","457","278","970","465","678","477","1241","438","1502","614","2587","985","1193","494","1279","510","7729","1453","6627","1317","6752","1350","3213","892","4143","858","640","501"
"0500000US06059","Orange County, California","1044280","6750","2719","879","8072","1565","16397","1996","22768","2141","22526","2168","24178","2347","25568","2503","21135","2270","19149","1963","20456","2280","133071","5988","195457","7385","167179","6743","121059","4866","235082","6244","9464","1714"
"0500000US06061","Placer County, California","147236","1902","230","233","275","222","1686","660","2852","900","3997","994","4984","1087","5033","1355","4980","1062","4874","1087","4678","1027","22465","2336","22651","2205","25862","2677","16737","1737","24301","2218","1631","733"
"0500000US06065","Riverside County, California","734948","6129","2540","1016","6949","1339","18295","1813","21733","2874","23435","2823","23441","2466","25487","2825","23744","2908","24236","3141","26541","2746","144780","6334","150097","6401","108447","6019","64540","4132","62384","4223","8299","1444"
"0500000US06067","Sacramento County, California","556752","2991","1820","808","3852","1038","10280","1408","15841","2083","17678","2292","17580","1903","17357","2355","18034","2252","20204","2140","23550","2401","143661","5403","120591","5517","68760","4728","34708","3018","35911","2609","6925","1396"
"0500000US06071","San Bernardino County, California","644758","4633","2456","784","8025","1562","18037","2406","19468","2399","23591","2530","23170","2837","20999","2262","20980","2675","25136","2362","30068","3148","155043","6562","130551","6294","76454","4452","41140","3376","40982","3587","8658","1800"
"0500000US06073","San Diego County, California","1132434","6683","4406","1474","8467","1628","16973","1847","23816","2578","27353","2703","27683","2455","24314","2188","27498","2518","25027","2883","26999","2830","180825","6886","222664","7415","178869","7052","120181","6171","206899","6654","10460","1774"
"0500000US06075","San Francisco County, California","365851","4759","624","604","3068","1143","12831","1959","10647","1811","7240","1478","10873","2245","11440","1982","7684","1313","9066","1733","8125","1836","44113","4123","42468","3070","39072","3512","37302","3147","115521","4556","5777","1531"
"0500000US06077","San Joaquin County, California","230241","2816","631","279","1191","446","5323","993","6074","1346","8346","1487","7642","1515","8508","1424","8773","1407","10177","1552","12253","2015","52557","3591","46183","3345","26721","2917","16144","2288","16252","1870","3466","909"
"0500000US06079","San Luis Obispo County, California","106512","2641","454","358","1593","660","1998","586","3201","1009","3163","943","3230","1036","4007","946","3951","932","2813","830","4269","1200","17139","2388","23717","2655","13235","1607","8449","1415","14261","1631","1032","700"
"0500000US06081","San Mateo County, California","265003","2718","344","248","1297","797","3325","995","4344","992","5523","980","5379","1333","6417","1169","4654","973","6161","1233","5668","1392","17942","2352","29308","2879","35158","2856","30136","3011","106649","4227","2698","831"
"0500000US06083","Santa Barbara County, California","146466","2271","501","361","895","450","3877","780","2981","782","4802","1004","4259","1195","4554","1184","3544","948","4612","1004","5513","1428","26007","2273","27745","2890","18650","1998","13662","1930","21976","1897","2888","1043"
"0500000US06085","Santa Clara County, California","643637","4477","1820","779","2981","813","7968","1478","9711","1817","11614","1672","13840","1689","13226","1694","14168","1400","12753","1404","12654","1744","62629","4113","71389","3844","88570","4654","89080","4335","226219","4524","5015","1039"
"0500000US06087","Santa Cruz County, California","97710","2076","230","153","314","265","1863","728","2186","898","3159","967","3388","818","3138","718","2560","660","1700","616","2138","744","13795","2189","17305","2280","11821","1745","10327","1815","22373","2009","1413","665"
"0500000US06089","Shasta County, California","72714","1501","304","277","1015","527","2231","756","2968","648","4193","827","4912","1106","4222","1034","3813","945","4934","1325","4007","959","17832","1823","11395","1594","5968","1275","2296","593","2310","690","314","220"
"0500000US06095","Solano County, California","150393","1826","593","417","1004","500","3074","948","3852","855","4769","1149","6588","1341","3797","859","3449","859","3958","909","4672","1237","20999","2228","31553","2713","25471","2448","18782","2214","15953","1649","1879","710"
"0500000US06097","Sonoma County, California","190689","2478","528","315","1293","616","3291","952","4743","867","4270","952","5788","1067","7105","1177","5579","1237","4901","1197","6191","1223","26698","2757","34457","3353","25306","2506","21814","2207","34610","2553","4115","1178"
"0500000US06099","Stanislaus County, California","174698","2116","314","277","1079","535","4976","1195","6054","1224","5418","1125","7098","1484","6368","1237","6856","1306","8226","1497","7256","1240","50050","3508","35879","3111","18897","2689","6415","1348","5595","1183","4217","1195"
"0500000US06101","Sutter County, California","33039","731","0","216","763","423","1129","473","1007","429","1015","419","966","470","1437","587","1966","657","2003","741","1728","585","8930","1194","6253","1110","2870","922","1184","593","985","446","803","385"
"0500000US06103","Tehama County, California","25310","1013","35","62","753","626","2185","952","2346","768","2092","1050","1606","886","598","324","1564","604","680","449","1540","915","5113","1390","3051","901","1644","978","859","667","481","310","763","566"
"0500000US06107","Tulare County, California","144109","1768","320","264","2529","852","4985","1222","5563","1433","6123","1559","6716","1965","8376","1976","7975","1669","8335","1634","9320","1946","43132","3914","21292","3255","8707","2072","2048","761","4038","1048","4650","1512"
"0500000US06111","Ventura County, California","268524","3070","570","286","1733","510","4980","990","6183","1079","6436","1238","8655","1300","6656","1272","6627","1433","5637","1232","7065","1425","34858","3105","43017","3203","47705","4001","32366","2866","53414","3228","2622","792"
"0500000US06113","Yolo County, California","76075","1259","576","549","547","343","974","516","1777","802","2024","607","2843","977","2464","679","2275","914","2624","816","4050","1312","14908","1712","16877","2052","9842","1657","4734","896","7317","1269","2243","779"
"0500000US06115","Yuba County, California","26827","921","93","107","480","308","1029","592","1543","759","1542","637","1560","705","848","514","1628","700","1269","651","1688","783","5135","1083","4450","1086","3020","934","1031","578","399","306","1112","762"
"0400000US06","California","13157873","23844","38853","3323","99446","6081","272899","9903","334300","10319","362895","9628","384440","10087","386094","10011","391401","9833","410083","9518","445694","11015","2404375","24834","2364271","23212","1757743","22774","1194200","15201","2136856","19310","174323","7478"
